conformity_tbec2018,tw,lw,hw,M/(V.lw),hw/lw,P/(Ag.fc),fc,Agb,Ag,Agb/Ag,ρbl.fybl,ρsh.fysh,ρl.fyl,ρt.fyt,v_test,failure_mode
0.0,152.4,3048.0,3657.6,1.73,1.2,0.12,29.4,77419.2,464515.2,0.17,15.87,4.27,1.42,1.42,936.3667648,2.0
0.0,85.0,1200.0,2000.0,1.67,1.67,0.12,65.0,32400.0,136200.0,0.24,8.02,4.49,3.17,3.17,348.73525,2.0
0.0,200.0,1500.0,2000.0,2.0,1.33,0.08,34.2,50000.0,300000.0,0.17,5.13,1.19,0.96,0.96,414.5,3.0
0.0,130.0,850.0,1700.0,2.0,2.0,0.2,28.2,52000.0,180700.0,0.29,11.18,3.61,1.44,2.37,372.5,3.0
0.0,200.0,1500.0,3000.0,2.0,2.0,0.07,36.5,60000.0,300000.0,0.2,39.33,0.0,3.75,4.5,1959.77,1.0
0.0,100.0,1200.0,1800.0,1.5,1.5,0.0,27.5,24000.0,120000.0,0.2,9.8,5.9,3.2,3.2,186.6725,3.0
0.0,102.0,1220.0,3360.0,2.75,2.75,0.1,41.7,45390.0,124440.0,0.36,6.02,8.84,1.73,1.92,367.0,3.0
0.0,120.0,2121.0,1750.0,1.0,0.825082508,0.083108147,33.14,120000.0,345720.0,0.347101701,17.712,0.0,4.797,4.797,1755.0,1.0
0.0,100.0,1300.0,1800.0,0.69,1.38,0.0,17.6,10404.0,130408.0,0.08,35.79,0.0,0.93,0.93,271.00515,1.0
0.0,200.0,1300.0,2700.0,2.08,2.08,0.0,28.3,41400.0,260000.0,0.16,15.87,4.69,3.05,3.03,421.5755,2.0
0.0,203.0,3050.0,1006.0,0.33,0.33,0.0,34.06,0.0,619150.0,0.0,0.0,0.0,3.64,3.41,2184.1051,1.0
0.0,80.0,1700.0,2000.0,1.33,1.18,0.14,93.6,40000.0,184000.0,0.22,16.6,29.96,5.28,5.28,1468.0,2.0
0.0,100.0,1000.0,2100.0,2.1,2.1,0.17,86.02,33000.0,100000.0,0.33,10.01,37.1,1.24,3.63,383.1,3.0
0.0,23.0,430.0,150.0,0.5,0.348837209,0.0,19.9,8700.0,17210.0,0.505520046,2.81,0.2814,2.26,2.26,30.0,1.0
0.0,80.0,1700.0,2000.0,2.0,1.18,0.21,62.6,40000.0,184000.0,0.22,18.14,8.55,6.41,6.41,1048.5,2.0
0.0,200.0,1000.0,2600.0,2.6,2.6,0.23,30.97,40000.0,200000.0,0.2,6.51,1.72,1.87,1.68,410.25,3.0
0.0,125.0,850.0,1600.0,1.88,1.88,0.16,26.46,28125.0,106250.0,0.26,4.92,3.34,1.58,1.68,163.40565,3.0
0.0,150.0,2120.0,1000.0,0.47,0.47,0.08,25.0,60000.0,402000.0,0.15,19.88,4.46,4.46,4.46,2187.0,1.0
0.0,130.0,850.0,1700.0,2.0,2.0,0.5,28.2,52000.0,180700.0,0.29,11.18,3.61,1.44,2.37,517.85,2.0
1.0,200.0,1300.0,2800.0,2.15,2.15,0.05,49.1,41200.0,260000.0,0.16,6.85,1.29,1.61,2.28,356.5,3.0
0.0,75.0,700.0,1600.0,2.5,2.29,0.15,27.4,7500.0,52500.0,0.14,15.91,0.0,3.58,2.42,110.5113358,2.0
1.0,150.0,2149.0,1001.0,0.6,0.465798046,0.087391753,41.0,300000.0,577350.0,0.519615485,2.532,4.8952,2.532,2.532,2190.0,1.0
0.0,100.0,1000.0,2000.0,2.0,2.0,0.1,23.0,50000.0,180000.0,0.28,5.44,2.39,2.97,2.99,278.895,3.0
0.0,100.0,2650.0,2400.0,0.91,0.91,0.04,17.16,25000.0,265000.0,0.09,6.84,0.0,1.37,1.37,456.249,3.0
0.0,150.0,1500.0,4200.0,2.8,2.8,0.0,28.28,90000.0,315000.0,0.29,3.42,4.27,1.47,1.22,108.0,3.0
1.0,203.2,2032.0,2032.0,1.0,1.0,0.0,39.0,51612.8,412902.4,0.13,17.79,5.51,1.38,1.53,1098.5,2.0
0.0,80.0,1300.0,1800.0,0.69,1.38,0.0,16.4,10404.0,108488.0,0.1,28.36,0.0,0.92,0.92,199.0,1.0
1.0,150.0,3500.0,1800.0,0.51,0.51,0.0,22.6,150000.0,675000.0,0.22,10.79,4.68,3.74,1.05,2131.0,1.0
0.0,75.0,1000.0,2800.0,2.8,2.8,0.1,24.9,10500.0,75000.0,0.14,7.3,2.84,3.2,3.2,89.6825,3.0
0.0,100.0,3000.0,1500.0,0.5,0.5,0.0,27.2,20000.0,300000.0,0.07,7.12,4.3,2.54,6.36,769.9564083,1.0
0.0,200.0,1500.0,750.0,0.5,0.5,0.07,44.6,20000.0,300000.0,0.07,58.99,0.0,4.31,4.34,2532.06,1.0
0.0,80.0,1700.0,2000.0,2.0,1.18,0.21,68.6,40000.0,184000.0,0.22,18.14,8.55,6.41,6.41,1041.05,2.0
0.0,130.0,850.0,920.0,1.08,1.08,0.5,26.1,52000.0,180700.0,0.29,9.05,2.12,1.44,2.78,828.4724,1.0
0.0,80.0,1700.0,3000.0,2.0,1.76,0.18,65.2,40000.0,184000.0,0.22,29.48,18.15,3.97,3.97,1034.22,2.0
0.0,100.0,1500.0,1000.0,0.67,0.67,0.0,35.9,150000.0,430000.0,0.35,6.96,2.38,5.37,2.37,863.4685,1.0
0.0,30.0,430.0,150.0,0.35,0.35,0.0,16.9,4500.0,20100.0,0.22,2.61,0.65,1.31,1.31,23.5906278,1.0
0.0,152.0,1000.0,3750.0,3.75,3.75,0.1,38.7,35036.0,152000.0,0.23,30.83,1.87,2.39,3.22,330.8135,3.0
0.0,130.0,850.0,1700.0,2.0,2.0,0.2,28.2,52000.0,180700.0,0.29,9.05,3.61,1.44,2.37,301.5,3.0
0.0,100.0,1500.0,2150.0,1.43,1.43,0.0,36.6,62500.0,225000.0,0.28,10.83,1.0,1.77,2.36,462.8,1.0
0.0,90.0,1802.0,3990.0,2.21,2.21,0.03,41.0,7380.0,162180.0,0.05,16.13,6.65,12.02,6.65,345.6298,2.0
