feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,label_0,label_1,label_2,label_3
-0.92774326,-0.44380802,-1.1704402,-1.3266178,0.20232129,-0.0071688835,0.27074328,-0.6624649,-0.47255558,-0.7002796,0.87928027,-0.9483686,-0.037920333,-0.06900513,0.61178255,0.11690052,0.18872371,-0.88313186,-1.0289931,-1.0545412,0.838128,-0.81283426,-0.84152395,-1.0737207,-0.927448,-0.81722564,-1.0658964,-1.256277,0.5777298,0.5777298,-1.204729,-1.2438086,-1.1482828,-1.4406474,-1.4694489,-1.1690909,-1.178349,-1.0994034,-0.44608796,-0.43681732,-0.54586023,-0.50252306,-0.42653462,-0.7703221,0.054073807,-0.79642284,-1.2438086,0.0,0.0,0.0,-1.2784988,-1.4108963,-1.2774817,-1.2071544,-0.83016396,-0.7825703,-0.6410902,-0.7217218,0.7535235,0.5978503,0.19424279,-0.2555923,-0.68852764,-0.5898656,-0.2915194,-0.11074887,-0.39903444,2.5169175,-1.4361407,0.0,0.0,1.0,0.0
-1.0855416,-0.21967639,-0.74588597,-0.53983206,0.43942514,-0.65108585,-0.8151366,-0.90580666,0.12565914,-0.7592919,-0.56981605,-0.35110232,0.79782736,0.7718705,1.4570234,-0.45183754,-0.41431436,-0.3194361,-0.41668138,-0.43717772,0.838128,-0.81283426,-0.8515708,-0.035964753,-0.6052755,-0.8259378,-0.40811077,-0.3675966,0.5429156,0.5429156,0.48802495,-0.25533107,0.5480703,-0.17335899,-0.04771804,0.12323242,0.05610726,-0.081973426,0.003631536,0.025423635,1.5921956,-0.67013407,-0.7433517,0.07046542,0.054073807,0.0023385026,-0.25533107,0.0,0.0,0.0,-0.48653418,-0.40201104,-0.4657195,-0.72754127,-0.13336217,0.015643355,0.30224285,-0.49961707,-0.02709107,-0.10052163,-0.09789148,-0.26991767,0.076525204,0.14328371,0.04037663,-0.10296975,-0.39903444,-0.3785939,0.6084441,0.0,0.0,1.0,0.0
-0.6526211,0.5536669,-0.8785251,-0.86627203,0.13187915,0.03729362,0.01255342,0.03711708,-0.45399863,-0.6773308,0.28376186,0.7028211,-0.15467726,-0.18627173,-0.412841,-0.52903914,-0.4887196,-0.7383504,-0.88896537,-0.91399044,0.838128,-0.81283426,-0.81852734,-0.9415583,-0.7979306,-0.7939896,-0.09058903,0.0040146466,0.5707017,0.5707017,-0.992617,-1.1065218,-0.93718594,-1.228485,-1.217476,-1.0941314,-1.0828013,-1.0557548,-1.0556333,-1.0786042,-0.57107747,0.5942198,0.7393935,-0.6865782,0.054073807,-0.76683897,-1.1065218,0.0,0.0,0.0,-1.197101,-0.9230617,-1.0192788,-1.1054704,-0.65235937,-0.6916395,-0.62768686,-0.6947889,0.62775236,0.6134551,0.19618611,-0.25504693,-0.6435542,-0.59320587,-0.29220518,-0.11335876,1.8899533,-0.3785939,-1.3482742,0.0412044626144226,0.0,0.9587955373855774,0.0
-0.41596827,1.2547922,-0.9162224,-1.4856437,2.8732593,0.14158721,0.28621703,-0.3039735,-0.47363195,-0.7401323,0.6440421,0.5719416,0.77456945,0.66553015,0.43917754,-0.82157123,-0.7402592,2.3054535,1.6103619,1.4849777,0.838128,-0.81283426,-0.8446027,1.6446021,1.234448,-0.8198954,-0.8684045,-0.9632139,0.5777298,0.5777298,3.9267762,0.9836684,4.078121,0.22762485,-0.16046077,2.1299698,2.7217512,3.4954832,0.99428666,1.0436747,-0.34695053,-0.54783905,-0.5884408,2.588804,0.054073807,2.0741935,0.9836684,0.0,0.0,0.0,1.1988417,1.1646804,0.8263805,1.006375,1.2069484,0.36556667,0.7134027,-0.46122032,-0.7764297,-0.32970232,-0.03968314,0.048156463,3.0115983,1.8835738,0.42656183,-0.96584547,1.8899533,-0.3785939,-1.3482742,0.0412044626144226,0.0,0.9587955373855774,0.0
-0.084432095,-0.23797803,-1.2330697,-1.2616916,0.11180827,-0.4876572,-1.4668558,0.5356352,-0.5287729,-0.73728836,-0.6169386,-0.56567895,0.4314198,0.45921755,-0.14669283,-0.86539334,-0.8740357,-0.46652552,-0.7235252,-0.7344857,0.75022364,-0.7179108,-0.7962269,-0.2017012,-0.9406663,-0.77794605,-0.7044209,-0.7445924,0.56413054,0.56413054,0.28735656,-0.6400816,0.3761969,-0.07999554,-0.21049324,0.056539603,-0.009722307,-0.14033473,-0.052039057,-0.03179773,-0.07461429,-0.68215,-1.2948029,-0.44657832,0.054073807,-0.504379,-0.6400816,0.0,0.0,0.0,-0.12521146,-0.46037716,-0.5444325,-0.561249,-0.48959458,-0.39016888,-0.15897596,-0.5953407,0.46832198,0.3846554,0.33543992,-0.09283373,-0.43293977,-0.38191983,-0.4300225,-0.29409066,-0.5018215,-0.3785939,0.69631064,0.0412044626144226,0.0,0.9587955373855774,0.0
1.6095215,-1.2466292,1.8887585,-0.54262865,-0.49322087,-0.71396595,-0.751233,0.0008410625,0.39802077,-0.12053244,-0.6169386,-1.138403,-0.05637707,0.037282206,2.4383318,1.4263122,1.1729739,0.5854636,2.421406,2.8347995,0.75022364,-0.7179108,2.5067945,4.7596974,1.4822881,2.0862868,0.55562305,0.6670296,-0.7639992,-0.7639992,1.4772663,0.43710527,1.5268806,2.1703913,0.54765266,3.2730358,3.1025083,2.565439,0.027009517,0.04945284,0.25075924,-0.5882387,-0.42213288,2.0900955,0.054073807,2.7831836,0.43710527,0.0,0.0,0.0,-0.032587808,0.23840435,0.10862025,-0.034000304,0.20944351,0.40616015,0.75594753,2.0855222,-0.2125685,-0.47846624,-0.29407674,0.767117,0.66687334,1.0139382,0.49013045,-1.8614087,-0.5018215,-0.3785939,0.69631064,1.0,0.0,0.0,0.0
0.8728566,0.9836897,0.18589629,0.98363084,-0.8833923,0.0767667,-0.30228776,2.33933,-0.5597872,-0.12910506,-0.6169386,1.154843,0.4100897,0.32613143,-0.23114751,-0.9435701,-0.88092303,1.4966359,0.7628426,0.68050635,-1.2952414,1.358582,0.57694584,0.47841573,0.7142191,0.41280818,-0.05967681,0.03641819,0.5777298,0.5777298,0.3543896,0.9878092,0.26986438,1.7109658,1.3910575,1.3677049,1.2589405,0.9626409,1.6063495,1.6727873,1.0942092,-0.33137098,-0.5842648,1.0659766,0.054073807,2.3873253,0.9878092,0.0,0.0,0.0,1.92026,0.6884812,0.32556587,0.5341912,2.617194,3.1490169,3.9264612,0.5672983,-2.9375532,-3.13761,-2.4156942,0.47553664,2.507613,2.6640744,2.024197,-0.49889582,-0.5018215,-0.3785939,0.69631064,0.0,0.0412044626144226,0.9587955373855774,0.0
-1.2253442,-1.5058187,2.2717087,1.2225059,0.7688321,-0.69336724,-0.82131535,-0.6637281,-0.5446451,-0.73220944,1.2266322,-1.4648198,-0.66425,-0.70818406,-0.7169624,0.63443375,0.8138126,-0.2940411,0.014002845,-0.040946342,-1.207337,1.3959602,-0.7886662,0.096074186,-0.11035013,-0.7713897,0.8145696,0.9209555,-1.3209434,-1.3209434,0.9876731,-0.5423503,1.1119907,-0.012127504,2.603069,-0.016223934,0.43976817,1.1597104,0.61816174,0.65707237,0.06814225,-0.5947924,-0.6729987,-0.41510844,0.054073807,-0.11121317,-0.5423503,0.0,0.0,0.0,0.06817439,0.75649524,0.5533605,0.25732294,-0.030848317,-0.27347735,0.27555335,-0.4182881,0.048726372,0.78419083,1.4883252,0.22632161,0.0965069,-0.7857931,-1.7828537,-0.59748167,1.8899533,-0.3785939,-1.3482742,0.9587955373855774,0.0,0.0412044626144226,0.0
0.73213446,0.11142477,-0.7328264,0.19504347,-0.46811858,-0.7112083,-0.93939716,2.8684912,-0.5597872,-0.7592919,-0.6169386,-0.61818916,0.40819085,0.329933,0.42097571,-0.6139196,-0.5338602,-0.67090803,-0.8312984,-0.86391073,0.2244885,-0.33952117,-0.8515708,-0.68748146,-0.8634725,-0.8259378,-1.1554841,-1.3948488,0.5777298,0.5777298,-0.32934824,-0.7474272,-0.26942503,-0.118896976,-0.10406629,-0.35012785,-0.40320727,-0.4824306,-0.9281709,-0.9323354,-0.16565996,-0.8703466,-1.019921,-0.5541314,0.054073807,-0.5770142,-0.7474272,0.0,0.0,0.0,-0.050414946,-0.4990696,-0.5865705,0.324789,-0.12436804,0.025889264,-0.49663198,-0.43144372,0.18276317,0.23602241,0.27822268,0.026969183,-0.34348637,-0.36115706,-0.35050765,-0.12409523,-0.5018215,-0.3785939,0.69631064,0.0,0.0,1.0,0.0
-1.3209172,-1.0132757,-0.20872864,0.97054684,-0.48929864,-0.8769478,-0.71284497,-0.45287785,0.21522081,-0.27270132,1.3131338,-0.2775909,0.17380604,0.15854605,-0.46157932,-0.91271853,-0.89791584,0.634099,0.09787864,0.09141992,-1.207337,1.3959602,1.2129683,-0.08565965,0.17685197,0.9643385,3.7422516,3.173444,-2.3082533,-2.3082533,-0.3106747,-0.29428133,-0.2990093,-0.07221525,0.420521,-0.50912386,-0.35558948,0.25956517,0.9437937,1.3572152,1.1608171,-0.61735326,0.30109388,0.23974042,0.054073807,0.39943835,-0.29428133,0.0,0.0,0.0,-0.3958482,-0.15015747,0.60192704,0.70607847,1.3520364,1.8237244,-0.47660398,-0.4465483,-1.6246322,-1.0808749,0.38413447,0.21259493,0.7410868,0.40871087,-0.3178117,-0.11292783,-0.5018215,2.5169175,-1.3482742,0.0,0.0,1.0,0.0
