feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,label_0,label_1,label_2,label_3
-0.9895599,0.43106738,-1.5523,-0.42195737,1.0298113,-0.77021587,-1.0217863,-0.56006914,-0.51929843,0.67289007,1.438017,0.12000255,0.929601,1.0754428,-0.5152611,-1.3024771,-1.3367611,-0.77601576,-1.0282167,-1.0477592,0.838128,-0.81283426,-0.60774297,-1.0059038,-0.9543513,-0.6145012,-0.61379725,-0.6201532,0.5777298,0.5777298,-0.958502,-0.27726498,-0.9913864,-1.4406474,-1.0174536,-1.161283,-1.1355388,-1.0125586,-1.0622325,-1.0699834,-1.805601,-0.7207782,-0.8518633,-0.7184156,0.054073807,-0.7663874,-0.27726498,0.0,0.0,0.0,-1.4817023,-1.386512,-1.2718956,-1.2714263,-0.7221592,-0.7626687,-0.5889689,-0.6169879,0.72005415,0.5906197,0.15467656,-0.3413037,-0.6742757,-0.58455795,-0.27344665,-0.06929566,1.9927404,-0.3785939,-1.4361407,0.0,0.0,1.0,0.0
-0.50601107,0.11954639,-0.8791925,-0.88131166,0.87750804,0.56361955,0.8359259,-0.33428094,-0.4937983,-0.7592918,0.5266889,0.47125795,0.47510192,0.40940705,1.8912413,0.05332048,0.15410845,-0.7791191,-0.8631895,-0.8928493,0.838128,-0.81283426,-0.8515707,-0.99098384,-0.7410518,-0.8259378,0.38820034,0.51026875,-0.267185,-0.267185,-1.0038211,-1.0672919,-0.9534127,-1.4406474,-1.2312934,-1.1477108,-1.1434182,-1.0985687,-0.8432218,-0.8450199,-1.1711581,1.730673,2.2977488,-0.57369995,0.054073807,-0.74157596,-1.0672919,0.0,0.0,0.0,-1.229009,-0.9430377,-1.0592412,-1.0703244,-0.7044699,-0.63495016,-0.616956,-0.6732259,0.6879224,0.5586122,0.1982006,-0.20629019,-0.6646317,-0.5754606,-0.2932575,-0.13199465,1.9927404,-0.3785939,-1.4361407,0.0,0.0,1.0,0.0
-1.6262325,1.0547603,-0.8629951,-0.5163112,-0.38443288,2.773752,1.2195296,-0.24327411,0.31037122,1.2298385,-0.6169386,2.4972577,-0.308656,-0.34237185,-0.5273065,-0.37706843,-0.32736358,-0.30319962,-0.34916198,-0.37476406,0.838128,-0.81283426,-0.04963315,-0.48124138,-0.2758199,-0.05058042,0.114499606,0.22729982,0.40716264,0.40716264,-0.7319061,0.2744895,-0.81011546,-0.68536144,-0.89595354,-0.7948307,-0.8334947,-0.85652256,0.57314336,0.24055077,0.17332138,3.0789711,1.1221893,-0.41073266,0.054073807,-0.62735826,0.2744895,0.0,0.0,0.0,-0.45462614,-0.45823598,-0.51303965,-0.62343156,-0.67498225,-0.6013584,-0.4027613,-0.24281755,0.6084449,0.37695658,-0.020657578,-0.45334217,-0.62106293,-0.49310458,-0.20350082,-0.037861317,-0.5018215,-0.3785939,0.69631064,1.0,0.0,0.0,0.0
0.17901644,-0.24295348,0.24137403,-0.98808044,-0.30284187,-0.25480998,0.30424625,-0.9950554,-0.5597872,-0.2943034,-0.6169386,-0.5405424,-0.39881638,-0.48041588,0.14424063,0.54673374,0.8121104,-0.6902347,-0.60766757,-0.66617715,0.838128,-0.81283426,-0.68246186,-0.6215858,-0.61648905,-0.6792941,-0.6834548,-0.71084493,0.5777298,0.5777298,-0.5053102,-0.69410366,-0.46280628,-0.49653995,-1.0271735,-0.6183907,-0.66277415,-0.70809805,2.1941106,2.2769213,0.43085548,-0.5982057,-0.65224004,-0.5977616,0.054073807,-0.723445,-0.69410366,0.0,0.0,0.0,-1.106738,1.9419299,1.7445935,1.494841,-0.75754774,-0.69541526,-0.51133525,-0.46098885,0.65771955,0.83293337,0.51562274,0.31867445,-0.6305594,-0.66341585,-0.29187393,0.16097395,-0.5018215,-0.3785939,0.69631064,1.0,0.0,0.0,0.0
-0.40124214,-1.3806992,0.032803364,1.1537519,0.014456503,-0.63041955,-0.9043767,-0.58947736,0.19290589,-0.22528477,-0.6169386,-1.3727927,-0.68991995,-0.71261954,-0.5912043,0.878633,0.91010946,-0.29616264,0.24611506,0.24915019,-1.2952414,1.4908837,0.49158132,0.66069394,-0.0005027583,0.33878383,0.17922758,0.29564622,0.24768499,0.24768499,1.1563932,-0.12718871,1.246489,0.82521045,2.734466,1.4446003,1.3333433,1.0273267,0.3202725,0.35088503,1.030001,-0.5982057,-0.7631419,-0.42270198,0.054073807,0.13855569,-0.12718871,0.0,0.0,0.0,-0.047056206,-0.1403332,-0.25814557,-0.15419395,-0.56882656,-0.48042822,-0.26316628,-0.46098885,0.45708904,0.35343203,0.13488156,0.035741612,-0.31075773,-0.251658,-0.2058023,-0.551725,-0.5018215,-0.3785939,0.69631064,1.0,0.0,0.0,0.0
0.20319389,-1.3430817,-0.49298322,1.0405272,-0.49322087,-0.222422,-0.9641961,-0.4086647,-0.5597872,-0.7592918,-0.6169386,-1.548611,-0.6809991,-0.7388109,-0.6093746,0.7888946,1.0558739,-0.8969466,-1.0255072,-1.0551893,-1.2952414,1.4908837,-0.8515707,-1.0528917,-0.9396132,-0.8259378,-0.78526205,-0.8474047,0.5777298,0.5777298,-1.109566,-1.2608618,-1.0449861,-1.0630044,-0.6286535,-1.0436563,-1.0742545,-1.0658392,-1.6169635,-1.6403152,-1.2961379,-0.6332264,-0.6966008,-0.7990893,0.054073807,-0.7918921,-1.2608618,0.0,0.0,0.0,-0.45462614,-0.9350901,-0.44021276,-0.37764043,-0.75754774,-0.69541526,-0.6160315,-0.6713683,0.72052014,0.7016419,0.21786942,-0.22575767,-0.6787166,-0.6197485,-0.29593897,-0.10739617,-0.5018215,-0.3785939,0.69631064,1.0,0.0,0.0,0.0
0.702861,-0.6105879,0.16614719,0.7574657,-1.1024337,2.8319855,-0.9771122,-0.405966,-0.5597872,-0.7592918,-0.6169386,-0.84254247,-0.13018763,-0.20220956,-0.44035935,-0.58622944,-0.48919258,-0.6701441,-0.8182188,-0.85431087,-1.2952414,0.83267856,-0.8515707,-0.7392358,-0.82182854,-0.8259378,-0.63147956,-0.64297557,0.5777298,0.5777298,-0.7319061,-0.63571584,-0.7107113,0.35315672,-0.23985359,-0.42159218,-0.47235504,-0.5425477,1.0054014,1.055099,-3.3867087,0.98823345,-1.0670129,-0.64091176,0.054073807,-0.664045,-0.63571584,0.0,0.0,0.0,0.27899975,1.480971,1.1983919,0.95410055,-0.43908074,-0.33262458,-0.092550084,0.38052896,0.37446406,1.1694115,1.1942935,1.5596015,-0.5229694,-0.7330803,-0.29187393,0.5527922,-0.5018215,-0.3785939,0.69631064,0.0,1.0,0.0,0.0
0.976872,3.1140952,-0.24580933,-1.1296113,-0.8739789,0.34318593,0.8858466,2.3742313,-0.5597872,-0.10202264,-0.6169386,3.5602956,0.2968463,0.31387237,-0.10954306,-0.8044835,-0.8114103,3.3437262,2.4489293,2.5587156,0.838128,-0.81283426,0.67507416,1.7858658,2.692483,0.49790064,0.013121027,0.11832359,0.5777298,0.5777298,0.40107343,0.27477348,0.39749572,1.7693179,-0.72585356,1.4446003,1.3333433,1.0273267,1.6321753,1.6993326,1.2867776,-0.107915446,0.1906139,2.7005126,0.054073807,1.0341517,0.27477348,0.0,0.0,0.0,1.9907935,2.2439375,1.7445935,1.4099313,2.748538,-0.24864528,0.0043909224,0.5753248,-2.8000612,0.6431289,1.3234036,2.1987336,2.3960137,-0.6132867,-0.8834789,-0.62243956,-0.5018215,-0.3785939,0.69631064,0.0,0.0,1.0,0.0
-0.08693541,0.45191413,-1.1374009,-1.3654958,0.11599198,-1.1483471,-1.4910284,-0.9950554,-0.5597872,-0.7592918,-0.6169386,-0.25707966,0.3902889,0.3808081,-0.54231125,-1.0976485,-1.087521,-0.4668099,-0.80744725,-0.8277134,0.838128,-0.81283426,-0.8515707,-0.37369585,-0.98107004,-0.8259378,-1.0424592,-1.2176895,0.5777298,0.5777298,0.2500095,-0.47260997,0.31809902,-0.118896976,-0.33705357,-0.0031126337,-0.06744087,-0.19051525,-3.1730921,-3.2397916,-0.122085385,-1.1235167,-1.317651,-0.5202987,0.054073807,-0.5851414,-0.47260997,0.0,0.0,0.0,-0.1285702,0.4001015,0.24435987,3.6712096,-0.48618957,-0.38628995,-0.15449835,0.2560485,0.46880472,0.57629186,0.85505927,0.9393228,-0.43819058,-0.5610926,-0.81801575,1.0422536,-0.5018215,-0.3785939,0.69631064,0.0,0.0,1.0,0.0
-0.780022,0.9919846,-0.78377604,-0.657842,-0.39803138,0.26136845,-0.46450886,1.1979096,0.520355,0.12549362,-0.6169386,0.3502367,0.27073148,0.33065012,0.14907709,-0.6379649,-0.68326586,0.34807482,0.08682573,0.14380898,0.838128,-0.81283426,0.18469732,0.78402245,-0.21757308,0.07266769,-0.8763527,-0.9740595,0.5777298,0.5777298,0.7032013,0.60193694,0.6838039,1.0140319,-0.045453608,1.1912506,1.088206,0.81420434,-0.15449081,-0.22818473,-0.5364123,-0.24799837,-0.7409615,0.3682138,0.054073807,0.2500783,0.60193694,0.0,0.0,0.0,0.97186863,-0.37876028,-0.5676598,-0.07375322,0.21383484,0.4111626,0.33156556,-0.11052757,0.010750809,-0.5540751,-0.8868308,-0.14743014,0.0730409,0.6965042,1.0636692,-0.2416452,-0.5018215,-0.3785939,0.69631064,0.0,0.0,1.0,0.0
